name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Luv Lap Liquid Cleanser, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories and Vegetables, 1.5ltr",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/71p5fCtiCnL._AC_UL320_.jpg,https://www.amazon.in/Luvlap-Anti-Bacterial-Accessories-Vegetable-Cleanser/dp/B07KJGC4YF/ref=sr_1_217?qid=1679219924&s=baby&sr=1-217,4.4,"5,883",₹509,₹669
"Luv Lap LuvLap Aqua Tales Baby Bather for Baby 0-12 Months, New Born Baby Bath Chair, 3 Position Adjustable, Washable Soft...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/91JNkTWv4TL._AC_UL320_.jpg,https://www.amazon.in/LuvLap-Position-Adjustable-Washable-Multicolor/dp/B09ZX7XJM7/ref=sr_1_218_mod_primary_new?qid=1679219924&s=baby&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-218,4.1,"3,200",₹899,"₹1,599"
"The Moms Co. Natural Baby Massage Oil with 10 Oils - Sesame Oil, Avocado, Organic Almond, Organic Jojoba, Organic Chamomil...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/71EQE76D+hL._AC_UL320_.jpg,https://www.amazon.in/Moms-Co-Natural-Massage-200ml/dp/B07G17DQ5R/ref=sr_1_219?qid=1679219924&s=baby&sr=1-219,4.4,"2,265",₹331,₹474
"Chicco Baby Moments Mild Body Wash Refresh, New Advanced Formula With Natural Ingredients, No Tears & Soap-Free, Mild Form...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61wYdjU9N6L._AC_UL320_.jpg,https://www.amazon.in/Chicco-Advanced-Ingredients-Soap-Free-Phenoxyethanol/dp/B09SB7L8HY/ref=sr_1_220?qid=1679219924&s=baby&sr=1-220,4.5,117,₹359,₹479
"Cetaphil Baby Mild Bar 75gm, Kids Soap for Bath, White, Medium",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61LHzpekqBL._AC_UL320_.jpg,https://www.amazon.in/Cetaphil-NA-Baby-Mild-Bar/dp/B085CLPCV7/ref=sr_1_221?qid=1679219924&s=baby&sr=1-221,4.5,"2,544",₹210,₹218
Johnson's Baby Hair Oil 200ml (Pack of 2),toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/81hkkvfo1kL._AC_UL320_.jpg,https://www.amazon.in/Johnsons-Baby-Hair-200ml-Pack/dp/B071WKJDZV/ref=sr_1_222?qid=1679219924&s=baby&sr=1-222,4.4,"4,444",₹298,₹320
"Luv Lap Bubbles Kids Manual Toothbrush with Soft Bristles, BPA Free, Suction Cup, 33 tuft bristles,Multicolor Boys & Girls...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61KD6eC2srL._AC_UL320_.jpg,https://www.amazon.in/Bubbles-Toothbrush-Bristles-Suction-bristles/dp/B09PYSDP1C/ref=sr_1_223?qid=1679219924&s=baby&sr=1-223,4.1,"2,030",,₹59
"Chicco Baby Moments Soap, New Advanced Formula with Natural Ingredients, Suitable for Baby’s Gentle Skin, Moisturizing & H...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/71K4JGLmeHL._AC_UL320_.jpg,https://www.amazon.in/Chicco-Ingredients-Moisturizing-Hydrating-Phenoxyethanol/dp/B09SBHTZ9Y/ref=sr_1_224?qid=1679219924&s=baby&sr=1-224,4.2,"4,529",₹257,₹285
BeeBaby Classic Powder Puff with Container for Baby (Blue) | Soft Touch. 100% BPA Free.,toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61+T2A8EfWL._AC_UL320_.jpg,https://www.amazon.in/Beebaby-Classic-Powder-Container-Touch/dp/B08Q34RSHF/ref=sr_1_225?qid=1679219924&s=baby&sr=1-225,4.1,"1,864",₹121,₹170
Good knight 100% Natural Mosquito Repellent Fabric Roll-On | Paediatrician Certified | 8-Hour Protect | Citrus - 8 ml,toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61OUdCB+MOL._AC_UL320_.jpg,https://www.amazon.in/Good-Knight-Fabric-Personal-Repellent/dp/B074ZQR11C/ref=sr_1_226?qid=1679219924&s=baby&sr=1-226,4.2,952,₹72,₹75
"Chicco Baby Moments Gentle Body Wash and Shampoo for Tear-Free Bath time, Suitable for Baby’s Gentle Skin and Soft Hair, N...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61S01Q3ZnPL._AC_UL320_.jpg,https://www.amazon.in/Chicco-Tear-Free-Suitable-Phenoxyethanol-Parabens/dp/B09SBDWXV9/ref=sr_1_227?qid=1679219924&s=baby&sr=1-227,4.4,"6,743",₹220,₹259
