name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
FITSHOE Women's & Girl's Flat Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/615ZAi2EfqL._AC_UL320_.jpg,https://www.amazon.in/FITSHOE-Womens-Girls-Bellies-numeric_7/dp/B0BH2XSMXZ/ref=sr_1_817?qid=1679211838&s=shoes&sr=1-817,3.8,6,₹589,₹999
Pinex Womens Bellies or Formal Shoes,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61CnLrG0T6L._AC_UL320_.jpg,https://www.amazon.in/Womens-BROWN-Bellies-Formal-Shoes/dp/B098Q23QWH/ref=sr_1_818?qid=1679211838&s=shoes&sr=1-818,4.2,9,₹749,"₹2,199"
Flavia Womens Ain37 Ballet Flat,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61Pgm3TBcuL._AC_UL320_.jpg,https://www.amazon.in/Flavia-Women-Ballet-Flat-Brown/dp/B0B5D4HTW3/ref=sr_1_819?qid=1679211838&s=shoes&sr=1-819,4.1,4,₹669,"₹1,699"
DOLLPHIN Wedding Fashion Mules for Women I Casual Stylish Bellies I HN-900,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/91pV72Fu9zL._AC_UL320_.jpg,https://www.amazon.in/DOLLPHIN-Wedding-Fashion-Stylish-Bellies/dp/B0B8HYDKF6/ref=sr_1_820?qid=1679211838&s=shoes&sr=1-820,3.7,3,"₹1,299","₹2,999"
Flavia Women's Ballet Flats,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/81+isseKkzL._AC_UL320_.jpg,https://www.amazon.in/Flavia-Flats-4-20181-34-MRN-04/dp/B07PDZH29P/ref=sr_1_821?qid=1679211838&s=shoes&sr=1-821,3.7,112,₹199,₹999
"BATA Women Flower NET Ballerina, Pink, (5515459)",women's shoes,Ballerinas,https://m.media-amazon.com/images/I/618PrPmAuOL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Flower-Ballet-Flat/dp/B0B51D5PT6/ref=sr_1_822?qid=1679211838&s=shoes&sr=1-822,1.9,5,,"₹1,199"
Planet Wear Girl' s Combo of Black Sunshine with Beads and Antique Golden SuperStar with Bow Ballerina Bellies/ 31 Euro Si...,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41afNfb4LxL._AC_UL320_.jpg,https://www.amazon.in/Planet-Wear-Sunshine-SuperStar-Ballerina/dp/B09NGT1XYM/ref=sr_1_823?qid=1679211838&s=shoes&sr=1-823,,,,₹999
"SELBRO Crocodile Style Shiney Light Weight,Comfortable & Stylish Wedge Bellies for Girls and Women's BALLET-39",women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71mVuGPvqtL._AC_UL320_.jpg,https://www.amazon.in/SELBRO-Crocodile-Comfortable-Stylish-BALLET-39/dp/B0BC966V3R/ref=sr_1_824?qid=1679211838&s=shoes&sr=1-824,3.4,7,₹499,₹999
FLITE Women Loafers,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41baseLVwgL._AC_UL320_.jpg,https://www.amazon.in/Flite-PU-Womens-Flats-7-PUB015L_BKRD0007/dp/B07R885VVG/ref=sr_1_825?qid=1679211838&s=shoes&sr=1-825,4.0,310,₹321.10,₹349.50
Women's Brown Mojari,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41Mtf8mIK+L._AC_UL320_.jpg,https://www.amazon.in/Paradise-Womens-Comfortable-Casual-Walking/dp/B08CVMVJ73/ref=sr_1_826?qid=1679211838&s=shoes&sr=1-826,3.2,70,₹300,₹479
SMARTOTS Women's Casual Soft Premium Suede Upper Synthetic Sole Bellies DailyUse Casual Bellies,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71By-5e1Q5L._AC_UL320_.jpg,https://www.amazon.in/SMARTOTS-Premium-Synthetic-Bellies-DailyUse/dp/B0B75398B1/ref=sr_1_827?qid=1679211838&s=shoes&sr=1-827,3.5,9,₹449,₹999
Liberty Women ELENA-72 Casual BalletFlats,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61-1T5CaVOL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Womens-Elena-72-Flats-4-21511681/dp/B08DS5W9BB/ref=sr_1_828?qid=1679211838&s=shoes&sr=1-828,4.7,9,₹303,₹399
"BATA Womens Ursule Ballerinas, (5516893)",women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71WHuFzAbjL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Ursule-Ballerinas-5516893/dp/B09ZYNT79K/ref=sr_1_829?qid=1679211838&s=shoes&sr=1-829,3.0,22,₹803,"₹1,199"
SHREE OL Women's Ballet Flat,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41hoMtGSkjL._AC_UL320_.jpg,https://www.amazon.in/Shree-Womens-Jaipuri-Multicolour-Belly/dp/B0784W1VQG/ref=sr_1_830?qid=1679211838&s=shoes&sr=1-830,3.7,"1,267",₹299,₹599
Walky Wear Casual Bellies for Womens & Girls (315),women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61+nYyM7VAL._AC_UL320_.jpg,https://www.amazon.in/Walky-Wear-Casual-Bellies-315/dp/B0B36M8L2B/ref=sr_1_831?qid=1679211838&s=shoes&sr=1-831,3.8,4,,₹549
"Casual Ethnic wear Bellies, Ballet & Belly Shoe for Womens and Girl's",women's shoes,Ballerinas,https://m.media-amazon.com/images/I/41jmeaeILSL._AC_UL320_.jpg,https://www.amazon.in/Casual-Ethnic-Bellies-Ballet-Womens/dp/B0BX9S9JH3/ref=sr_1_832?qid=1679211838&s=shoes&sr=1-832,,,₹649,₹999
U.S. POLO ASSN. ALCOR Men's Casual Sneakers,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61PXl2vhzcL._AC_UL320_.jpg,https://www.amazon.in/U-S-POLO-ASSN-ALCOR-Black/dp/B0B8T4PKWD/ref=sr_1_833?qid=1679211838&s=shoes&sr=1-833,5.0,1,"₹2,799.30","₹4,299"
Daizyella Fashion Stylish Latest Ballet Flats Slip On Bellies & Ballerina for Womens & Girls,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/61W8w1IiNeL._AC_UL320_.jpg,https://www.amazon.in/Daizyella-Fashion-Stylish-Bellies-Ballerina/dp/B09W64P8YK/ref=sr_1_834?qid=1679211838&s=shoes&sr=1-834,4.2,4,₹355,₹699
Latest Collection | Comfortable Stylish Solid Wedge Heel Slip-On Bellies & Ballerina for Womens & Girls Black Belt Belly,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/51H+t4OB2UL._AC_UL320_.jpg,https://www.amazon.in/Collection-Comfortable-Stylish-Ballerina-Numeric_6/dp/B09Y61BWX5/ref=sr_1_835?qid=1679211838&s=shoes&sr=1-835,4.2,4,₹499,₹599
commander Womens Hs111 Ballerinas Wedges Heel for Women Ballet Flats,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71FciIxt7mL._AC_UL320_.jpg,https://www.amazon.in/Commander-Womens-Ballet-Flats-7-HS111/dp/B07NPSPWLP/ref=sr_1_836?qid=1679211838&s=shoes&sr=1-836,4.1,7,₹599,₹999
