name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Le'aokuu Mens Genuine Leather Motorcycle Horse Riding Waist Pack Drop Leg Cross Over Bag (211-5 Dark Brown),sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/71bgSJLoGiL._AC_UL320_.jpg,https://www.amazon.in/Leaokuu-Genuine-Leather-Motorcycle-211-5/dp/B01ITB8V52/ref=sr_1_1705?qid=1679217530&s=sports&sr=1-1705,4.5,"3,403","₹7,726","₹10,999"
Malfah Enterprises Simple Electrician Waist Pocket Tool Belt Pouch Bag (DL-P4),sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/71kxTMkqoHL._AC_UL320_.jpg,https://www.amazon.in/Malfah-Enterprises-Simple-Electrician-Pocket/dp/B09RW15R8V/ref=sr_1_1706?qid=1679217530&s=sports&sr=1-1706,2.5,2,₹760,"₹1,199"
Linist Multi-Purpose Military Tactical Folding Shovel Camping Hiking Survival Tools,sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/51ApZHeYJnL._AC_UL320_.jpg,https://www.amazon.in/Linist-Multi-Purpose-Military-Tactical-Survival/dp/B09RVH3GFN/ref=sr_1_1707?qid=1679217530&s=sports&sr=1-1707,3.9,2,₹490,₹990
ATHRZ Anti Ultraviolet Outdoor Camping Portable Foldable Tent for Picnic/Hiking/Trekking Tent Dome Tent Travelling Water R...,sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/41YgxCIOOUS._AC_UL320_.jpg,https://www.amazon.in/ATHRZ-Ultraviolet-Portable-Travelling-Resistant/dp/B096XWG69C/ref=sr_1_1708?qid=1679217530&s=sports&sr=1-1708,4.0,1,"₹1,299","₹2,999"
"GALENO Packing Cubes for Travel 8 Pcs Set, Travel Cubes for Suitcase Lightweight Luggage Organizers with Toiletry Bag and ...",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/716G30kBvNL._AC_UL320_.jpg,https://www.amazon.in/GALENO-Suitcase-Lightweight-Organizers-Traveller/dp/B0BRS7B99M/ref=sr_1_1709?qid=1679217530&s=sports&sr=1-1709,,,₹999,"₹1,599"
"Sixfire Headlamp Flashlight, Rechargeable Led Head Lamp, IPX4 Waterproof T6 Headlight with 4 Modes and Adjustable Headban...",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/71QVzVlTBgL._AC_UL320_.jpg,https://www.amazon.in/Rechargeable-Waterproof-Headlight-Illuminated-Charging/dp/B09KBL9M1B/ref=sr_1_1710?qid=1679217530&s=sports&sr=1-1710,,,₹599,₹999
Coleman 5-in-1 Survival Whistle (Orange),sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/71gX9IXDcDL._AC_UL320_.jpg,https://www.amazon.in/Coleman-5-in-1-Survival-Whistle-Orange/dp/B0002YUFJA/ref=sr_1_1711?qid=1679217530&s=sports&sr=1-1711,4.1,141,₹350,₹399
Yellow Weaves™ Large Purse / Handbag Organizer for Ladies,sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/41c6KtImkQL._AC_UL320_.jpg,https://www.amazon.in/Yellow-WeavesTM-Handbag-Organizer-Ladies/dp/B081NKLR44/ref=sr_1_1712?qid=1679217530&s=sports&sr=1-1712,3.5,6,₹359,₹600
Trek N Ride Hiking Bag - 35L,sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/51O6wjg8fPL._AC_UL320_.jpg,https://www.amazon.in/Trek-Ride-Hiking-Bag-35L/dp/B07NKN5PP4/ref=sr_1_1713?qid=1679217530&s=sports&sr=1-1713,5.0,2,"₹1,499","₹1,799"
IRIS Camping Tent 2 Person 3 Season Camouflage Dome Tent Easy Setup Outdoor Tent for Camping Hiking (200 X 150 X 110 cm),sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/I/51VG-YM7dZL._AC_UL320_.jpg,https://www.amazon.in/IRIS-Camping-Person-Camouflage-Outdoor/dp/B07232PR2C/ref=sr_1_1714?qid=1679217530&s=sports&sr=1-1714,3.6,5,"₹1,699","₹3,400"
