name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
MACCA Brand - XXXL Clasic Bean Bag Filled with Beans Ready to Use (Faux Leather) (Navy Blue),home & kitchen,Furniture,https://m.media-amazon.com/images/I/51soywcAI9L._AC_UL320_.jpg,https://www.amazon.in/MACCA-Brand-Clasic-Filled-Leather/dp/B0BTBBRJ6T/ref=sr_1_433?qid=1679212906&s=kitchen&sr=1-433,4.1,5,"₹1,595","₹2,499"
"Supreme Bazaar Stainless Steel Napkin Ring/ Towel Hanger/ Napkin Holder, Wall Mounted for Kitchen, Wash Area, Bathroom Acc...",home & kitchen,Furniture,https://m.media-amazon.com/images/I/31yY3bh5EnL._AC_UL320_.jpg,https://www.amazon.in/Supreme-Bazaar-Stainless-Towel-Accessories/dp/B09C4SFZZG/ref=sr_1_434?qid=1679212906&s=kitchen&sr=1-434,3.7,211,₹174,₹399
Kuber Industries Country Modern Door Mat/Floor Mat|Solid Print & Cotton Material|Water Absorbent & Easy to Wash|Size Large...,home & kitchen,Furniture,https://m.media-amazon.com/images/I/81FOX5pkqQL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Flower-Design-Cotton/dp/B07GM7B7LP/ref=sr_1_435?qid=1679212906&s=kitchen&sr=1-435,4.0,969,₹189,₹398
Generic LTT-0001 Multipurpose Wood Laptop Table with Dock Stand & Non-Slip Legs Foldable and Portable Lapdesk for Study & ...,home & kitchen,Furniture,https://m.media-amazon.com/images/I/61tbu79Rj2L._AC_UL320_.jpg,https://www.amazon.in/Hossejoy-Foldable-Breakfast-Serving-Reading/dp/B0866GKZMF/ref=sr_1_436_mod_primary_new?qid=1679212906&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-436,3.7,"2,224",₹399,"₹1,299"
"Cello Classic Perfect Posture Plastic Stool, Small, Ivory",home & kitchen,Furniture,https://m.media-amazon.com/images/I/71l91RQ2HBL._AC_UL320_.jpg,https://www.amazon.in/Cello-Classic-Perfect-Posture-Plastic/dp/B01KXQ8E7Q/ref=sr_1_437?qid=1679212906&s=kitchen&sr=1-437,4.4,408,₹549,₹613
Zollyss Punch-Free Powder Coated Multipurpose Metal Powder Coated Wall Holder Kitchen Bathroom Shelf with Strong Magic Sti...,home & kitchen,Furniture,https://m.media-amazon.com/images/I/51mjg0JxZvL._AC_UL320_.jpg,https://www.amazon.in/Zollyss-Punch-Free-Multipurpose-Bathroom-Organizer/dp/B08L3D4F3Q/ref=sr_1_438?qid=1679212906&s=kitchen&sr=1-438,3.6,108,₹279,₹899
EEMWAY Fabric Cover only (Compatible for 4-Layer Portable Shoe Rack size-L24xB12xH28inch) sky blue Color,home & kitchen,Furniture,https://m.media-amazon.com/images/I/61IYvBy65YL._AC_UL320_.jpg,https://www.amazon.in/EEMWAY-Fabric-Portable-4-laier-SkyBlue/dp/B084DQZCQ4/ref=sr_1_439?qid=1679212906&s=kitchen&sr=1-439,3.8,"1,347",₹204,₹500
"OXMIC Nesting Round End Table Set Of 2,Beautiful Wooden Antique Side Table,Wooden Bedside Table For Your Living Room,Bedsi...",home & kitchen,Furniture,https://m.media-amazon.com/images/I/518fWz4lUdL._AC_UL320_.jpg,https://www.amazon.in/OXMIC-Nesting-Beautiful-Antique-Bedside/dp/B0BRK3W5T2/ref=sr_1_440?qid=1679212906&s=kitchen&sr=1-440,4.4,10,"₹1,499","₹2,000"
"Zemic Portable Shoe Rack Organizer with Door, 20 Pairs Shoe Storage Cabinet Easy Assembly, Plastic Adjustable Shoe Storage...",home & kitchen,Furniture,https://m.media-amazon.com/images/I/61tYxdoTe1L._AC_UL320_.jpg,https://www.amazon.in/Zemic-Adjustable-Detachable-Expandable-Black10Shelf5Door/dp/B0BPP3K9YC/ref=sr_1_441?qid=1679212906&s=kitchen&sr=1-441,4.5,"1,746","₹2,672","₹7,475"
"Wakefit Bean Bag, Bean Bag with Beans Filled, Bean Bag XXXL, Original Leatherette Bean Bag with Beans,(Black with Red Piping)",home & kitchen,Furniture,https://m.media-amazon.com/images/I/41QS7nhxrXL._AC_UL320_.jpg,https://www.amazon.in/Wakefit-Filled-Original-Leatherette-Piping/dp/B0B8HM9XSL/ref=sr_1_442?qid=1679212906&s=kitchen&sr=1-442,4.4,412,"₹1,833","₹2,699"
