name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Cetaphil Oily Skin Cleanser , Daily Face Wash for Oily, Acne prone Skin , Gentle Foaming, 125ml",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/718NOimjcaL._AC_UL320_.jpg,https://www.amazon.in/Cetaphil-Cleanser-Oily-Skin-125ml/dp/B01CCGW732/ref=sr_1_121?qid=1679215338&s=hpc&sr=1-121,4.3,"6,318",₹440,₹545
"Kitchengenix's washing machine cleaning tablet, Descaling Powder Tablets, washing machine deep cleaner, Deep Cleaner Table...",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/71yauf-NbdL._AC_UL320_.jpg,https://www.amazon.in/Kitchengenixs-washing-cleaning-Descaling-Companys/dp/B0BTBX95KP/ref=sr_1_122?qid=1679215338&s=hpc&sr=1-122,4.3,217,₹165,₹999
"Urbangabru Hair Removal cream Spray | Painless Body Hair Removal spray For Chest, Back, Legs & Under Arms (200 ml)",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/71hvuVj6GML._AC_UL320_.jpg,https://www.amazon.in/Urbangabru-Hair-Removal-Spray-Cream/dp/B0B9MGR6C8/ref=sr_1_123?qid=1679215338&s=hpc&sr=1-123,4.2,"3,926",₹599,₹750
Kesh King Ayurvedic Anti Hairfall Hair Oil|Hair Growth Oil| Reduces Hairfall |21 Natural Ingredients | Grows New Hair With...,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/71aiqTDRNGL._AC_UL320_.jpg,https://www.amazon.in/Kesh-King-Ayurvedic-Scalp-Hair/dp/B07K2JHVRY/ref=sr_1_124?qid=1679215338&s=hpc&sr=1-124,4.2,"18,350",₹226,₹349
"Harpic Bathroom Cleaner Liquid, Lemon - 1 Litre (Pack of 2) | New Thicker Bathroom Floor Cleaner | Red Harpic Bottle",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/61cE2Oo-ueL._AC_UL320_.jpg,https://www.amazon.in/Harpic-Bathroom-Cleaner-Lemon-Pack/dp/B071HGVPSJ/ref=sr_1_125?qid=1679215338&s=hpc&sr=1-125,4.4,"10,744",₹340.10,₹358
PHILIPS BT3231/15 Smart Beard Trimmer - Power adapt technology for precise trimming- Quick Charge; 20 settings; 60 min run...,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/81L3BIIbF-L._AC_UL320_.jpg,https://www.amazon.in/Philips-BT3231-15-Smart-Trimmer/dp/B09NMDPF2Y/ref=sr_1_126?qid=1679215338&s=hpc&sr=1-126,4.4,"69,356","₹1,795","₹1,995"
"Gillette Venus Hair Removal Razor for Women with Aloe Vera, 1 Pc",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/71Zo4w+GQEL._AC_UL320_.jpg,https://www.amazon.in/Gillette-Venus-Removal-Razor-Women/dp/B000MN95AQ/ref=sr_1_127?qid=1679215338&s=hpc&sr=1-127,4.3,"50,783",₹224,₹249
Neutriderm Moisturising Lotion w/Vitamin E - 125 mL,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/61Cv-Ma+X1L._AC_UL320_.jpg,https://www.amazon.in/Neutriderm-Vitamin-Moisturising-Lotion-125/dp/B00GSXY6DU/ref=sr_1_128?qid=1679215338&s=hpc&sr=1-128,4.4,"16,884",,"₹1,000"
Exo Dishwash Bar - 700 g (Pack of 2),beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/61CwN2uZ9yL._AC_UL320_.jpg,https://www.amazon.in/Exo-Dishwash-Bar-700-Pack/dp/B0713ZZKXJ/ref=sr_1_129?qid=1679215338&s=hpc&sr=1-129,4.5,"11,992",,₹147
"Santoor Classic Handwash, 1500ml",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51ZtJs3sR+L._AC_UL320_.jpg,https://www.amazon.in/Santoor-Classic-Natural-goodness-Sandalwood/dp/B083WLDBWW/ref=sr_1_130?qid=1679215338&s=hpc&sr=1-130,4.4,"10,952",₹159,₹199
Harpic White and Shine Disinfectant Toilet Cleaner Bleach - 500 ml | India's # 1 Toilet Cleaner,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51YJs4aCMRL._AC_UL320_.jpg,https://www.amazon.in/Harpic-White-Bleach-Toilet-Cleaner/dp/B00NWFWCHO/ref=sr_1_131?qid=1679215338&s=hpc&sr=1-131,4.4,"6,245",,₹89
"L'Oréal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 30ml",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51JP4dQ0fkL._AC_UL320_.jpg,https://www.amazon.in/LOreal-Paris-Elseve-Extraordinary-Oil/dp/B08MGMF9ZL/ref=sr_1_132?qid=1679215338&s=hpc&sr=1-132,4.3,"22,587",₹284,₹299
"PHILIPS 1000 watts Hair Dryer (HP8100/46, Purple)",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51FGbb3EbgL._AC_UL320_.jpg,https://www.amazon.in/Philips-HP8100-46-Dryer-Purple/dp/B00KCD8NFY/ref=sr_1_133?qid=1679215338&s=hpc&sr=1-133,4.3,"76,117",₹766,₹845
"Godrej Ezee Liquid Detergent - Winterwear, No Soda Formula, 2kgs (1 bottle & 1 refill)",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/819YlFoRMrL._AC_UL320_.jpg,https://www.amazon.in/Godrej-Ezee-Liquid-Detergent-Bottle/dp/B016BB26KI/ref=sr_1_134?qid=1679215338&s=hpc&sr=1-134,4.5,"30,511",₹339.20,₹390
"Listerine Cool Mint Mouthwash Liquid, Removes 99.9% Germs, 250ml Combo Pack of 3 (Buy 2 Get 1 Free)",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/6103u-7EQ9L._AC_UL320_.jpg,https://www.amazon.in/Listerine-Cool-Mint-Mouthwash-250ml/dp/B0761196MM/ref=sr_1_135?qid=1679215338&s=hpc&sr=1-135,4.5,"21,000",₹317,₹495
"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 Litre | Thick Toilet Cleaning Acid Suitable for Toilet Bowls",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51RLCHjNuTL._AC_UL320_.jpg,https://www.amazon.in/Harpic-Powerplus-Toilet-Cleaner-Original/dp/B00NWFVVG2/ref=sr_1_136?qid=1679215338&s=hpc&sr=1-136,4.4,"28,468",,₹191
"Tresemme Keratin Smooth Shampoo,With Keratin And Argan Oil For Smoother And Shinier Hair, 1 Ltr",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/516sCgFYvgL._AC_UL320_.jpg,https://www.amazon.in/TRESemme-Keratin-Smooth-Shampoo-1000ml/dp/B07L3ZCJ53/ref=sr_1_137?qid=1679215338&s=hpc&sr=1-137,4.4,"18,590",₹641.70,₹865
"Clinic Plus Strong & Long Shampoo 1 L, With Milk Proteins & Multivitamins for Healthy and Long Hair - Strengthening Shampo...",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51WcofHzdJS._AC_UL320_.jpg,https://www.amazon.in/Clinic-Plus-Strong-Long-Shampoo/dp/B0933B5N19/ref=sr_1_138?qid=1679215338&s=hpc&sr=1-138,4.4,"6,376",₹441,₹735
"Mamaearth Aloe Vera Gel For Face, with Pure Aloe Vera & Vitamin E for Skin and Hair - 300ml",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51yGZ9zMbGL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Aloe-Vera-Face-Vitamin/dp/B084WN37XT/ref=sr_1_139?qid=1679215338&s=hpc&sr=1-139,4.2,"14,222",₹270,₹319
"SYSKA HT200U All-in-One Cordless Trimmer for Men, Face, Beard, Head and Body Grooming with Advance Rototech Technology, Se...",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51xrRryabOL._AC_UL320_.jpg,https://www.amazon.in/SYSKA-HT200U-Beard-Trimmer-Runtime/dp/B07ZTKM6R8/ref=sr_1_140?qid=1679215338&s=hpc&sr=1-140,4.1,"24,395",₹638,₹829
"Dettol Skincare Moisturizing Bathing Soap Bar With Glycerine (Buy 4 Get 1 Free - 125G Each), Combo Offer On Bath Soap",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/61qpDs+R2UL._AC_UL320_.jpg,https://www.amazon.in/Dettol-Skincare-Protection-Bathing-125gm/dp/B08TC7MSVX/ref=sr_1_141?qid=1679215338&s=hpc&sr=1-141,4.4,"3,016",₹282,₹322
"Pidilite T16 Roff Cera Clean Professional Tile, Floor & Ceramic Cleaner, Multi-surface Floor and Tile Cleaner, Removes Stu...",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/514R4obiNoL._AC_UL320_.jpg,https://www.amazon.in/Pidilite-cleaner-brand-Fevicol-1000ml/dp/B01LZSWXWI/ref=sr_1_142?qid=1679215338&s=hpc&sr=1-142,4.0,"19,082",₹159,₹359
Bajaj 100% Pure Coconut Oil 600 ml,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51bP5mNwo3L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Coconut-600ml-CNO-600/dp/B09G6GWPYP/ref=sr_1_143?qid=1679215338&s=hpc&sr=1-143,4.3,"4,393",₹121,₹249
"Lizol Disinfectant Surface & Floor Cleaner Liquid Refill Pack, Citrus - 1800 ml | Suitable for All Floor Cleaner Mops | Ki...",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/61RxhZvujQL._AC_UL320_.jpg,https://www.amazon.in/Lizol-Disinfectant-Cleaner-Refill-Citrus/dp/B08CPRYLK4/ref=sr_1_144?qid=1679215338&s=hpc&sr=1-144,4.5,"8,493",₹325.01,₹350
"Maybelline New York Colossal Kajal, Intense Colour, Waterproof, Long lasting 24Hrs Stay, Black, 0.35g",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/61RxhZvujQL._AC_UL320_.jpg,https://www.amazon.in/Maybelline-Colossal-Kajal-Black-0-35g/dp/B06WGZP21B/ref=sr_1_145?qid=1679215339&s=hpc&sr=1-145,4.3,"43,232",₹152,₹199
PEESAFE Aloe Vera Panty Liners For Women | Curvy Design For Extra Comfort | Cottony-Soft Surface With 185mm Wide Optimal C...,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/513qqcjviWL._AC_UL320_.jpg,https://www.amazon.in/Safe-Aloe-Panty-Liners-Count/dp/B07FDG7TLK/ref=sr_1_337?qid=1679215342&s=hpc&sr=1-337,4.2,"9,181",₹194,₹240
Sensodyne Repair & Protect - 100g | Toothpaste for deep repair of sensitive teeth,beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/51ohHNHJutL._AC_UL320_.jpg,https://www.amazon.in/Sensodyne-Sensitive-Toothpaste-Repair-Protect/dp/B01AAE8JHQ/ref=sr_1_338?qid=1679215342&s=hpc&sr=1-338,4.5,"12,750",₹206,₹220
"Vedaka Whole Methi (Fenugreek), 200g",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/91ItY85fn8L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Vedaka-Fenugreek-Methi/dp/B07BXG71VG/ref=sr_1_339?qid=1679215342&s=hpc&sr=1-339,4.4,"4,753",₹182,₹398
"Bloomingdale Reusable Stainless Steel Straw with Cleaning Brush- Long Metal Straws for Drinking, Reusable Set of 5 (2- Ben...",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/616Y1cRMuuL._AC_UL320_.jpg,https://www.amazon.in/Bloomingdale-Reusable-Stainless-1-cleaning-BSteelStrawsSilver5Pcs/dp/B09XBFQSG6/ref=sr_1_340?qid=1679215342&s=hpc&sr=1-340,4.5,"1,717",₹127,₹299
"Cetaphil Daily Advance Ultra Hydrating Lotion For Dry/Sensitive Skin, Long Lasting Moisturizer For Face & Body, Multi, 100 G",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/I/71nFm1pAlDL._AC_UL320_.jpg,https://www.amazon.in/Cetaphil-Daily-Advance-Hydrating-Lotion/dp/B01ER4HUWU/ref=sr_1_341?qid=1679215342&s=hpc&sr=1-341,4.4,"3,829",₹440,₹518
