name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Bajaj Frore 1200 mm Ceiling Fan (Brown),appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/41XJ2wk4M1L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Frore-1200-Brown-Ceiling/dp/B07SPVMSC6/ref=sr_1_4?qid=1679135034&s=kitchen&sr=1-4,4.1,"9,971","₹1,349","₹2,660"
"Bajaj PX 97 Torque New 36L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerf...",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/71mdr95IHcL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Torque-New-Honeycomb-Technology/dp/B09R3QNGW5/ref=sr_1_5?qid=1679135034&s=kitchen&sr=1-5,3.7,"19,602","₹5,799","₹9,050"
"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/816lZp-8R2L._AC_UL320_.jpg,https://www.amazon.in/OPERATION-CHARGING-MULTI-CLIP-FUNCTION-PERSONAL/dp/B08VJFYH6N/ref=sr_1_6?qid=1679135034&s=kitchen&sr=1-6,4.1,"4,648",₹986,"₹1,620"
atomberg Renesa 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spe...,appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/61mhVkkWM-L._AC_UL320_.jpg,https://www.amazon.in/Atomberg-Renesa-Motor-Remote-Ceiling/dp/B08Y5QJXSR/ref=sr_1_7?qid=1679135034&s=kitchen&sr=1-7,4.3,"29,831","₹3,680","₹5,190"
"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/31UISB90sYL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_8?qid=1679135034&s=kitchen&sr=1-8,4.2,"2,255","₹32,999","₹58,990"
"Bajaj PMH 25 DLX 24L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerful Air...",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/61o4Iv+vdBL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-DLX-Honeycomb-Technology-PMH25/dp/B09R3JQ3P9/ref=sr_1_9?qid=1679135034&s=kitchen&sr=1-9,3.6,"2,943","₹4,718","₹7,360"
CROMPTON SUREBREEZE SEA Sapphira 1200 mm (48 inch) Ceiling Fan (Lustre Brown) 1 Star,appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/41APqPHuqtL._AC_UL320_.jpg,https://www.amazon.in/CROMPTON-SUREBREEZE-Sapphira-Ceiling-Lustre/dp/B0BTS9GG2V/ref=sr_1_10?qid=1679135034&s=kitchen&sr=1-10,3.9,"2,507","₹1,499","₹2,599"
"Bajaj PYGMY MINI 110 MM PERSONAL FAN - WHITE SMOKE, small",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/71Dm+JU52xL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-PYGMY-MINI-110-PERSONAL/dp/B08VRGH6NM/ref=sr_1_11?qid=1679135034&s=kitchen&sr=1-11,4.2,"2,208",₹898,"₹1,785"
Bajaj New Shakti Neo 15L Vertical Storage Water Heater (Geyser 15 litres) 4 Star BEE Rated Heater For Water Heating with T...,appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/51-cyGLC3kL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Shakti-Heater-Multiple-Safety/dp/B097R45BH8/ref=sr_1_12?qid=1679135034&s=kitchen&sr=1-12,4.1,"12,849","₹5,499","₹13,150"
"AmazonBasics High Speed 55 Watt Oscillating Pedestal Fan, 400mm Sweep Length, White (Without Remote)",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/71QfUcEOg8L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-400mm-Pedestal-Remote-White/dp/B07NPBG1B4/ref=sr_1_16?qid=1679135034&s=kitchen&sr=1-16,4.1,"6,113","₹2,099","₹3,300"
"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/51bfOnh2M4L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-1500-Watt-Immersion-Heater-Plug/dp/B00ABMASXG/ref=sr_1_17?qid=1679135034&s=kitchen&sr=1-17,4.1,"36,955",₹539,₹665
"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19YNZE/dp/B0BQ3MXML8/ref=sr_1_18?qid=1679135034&s=kitchen&sr=1-18,4.2,"2,948","₹46,490","₹75,990"
ACTIVA 1200 MM HIGH SPEED 390 RPM BEE APPROVED 5 STAR RATED APSRA CEILING FAN BROWN 2 Years Warranty,appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/31hXo964hqL._AC_UL320_.jpg,https://www.amazon.in/ACTIVA-APSRA-Approved-Ceiling-Warranty/dp/B07ZJND9B9/ref=sr_1_19?qid=1679135034&s=kitchen&sr=1-19,3.9,"6,995","₹1,099","₹1,990"
Candes Star 1200mm/48 inch High Speed Anti-dust Decorative 5 Star Rated Ceiling Fan 405 RPM with 2 Yrs Warranty (Coffee Br...,appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/51s36oqI6KL._AC_UL320_.jpg,https://www.amazon.in/Candes-Star-Anti-dust-Decorative-Warranty/dp/B09296RG1X/ref=sr_1_20?qid=1679135034&s=kitchen&sr=1-20,3.8,"1,161","₹1,299","₹2,299"
"LG 1 Ton 4 Star Ai Dual Inverter Split Ac (Copper, Super Convertible 6-In-1 Cooling, Hd Filter With Anti Virus Protection,...",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-protection-RS-Q13JNYE/dp/B0BPYN9JGF/ref=sr_1_21?qid=1679135034&s=kitchen&sr=1-21,4.2,"1,206","₹34,490","₹61,990"
"Havells Ambrose 1200mm Energy Saving with Remote Control 5 Star Decorative BLDC Ceiling Fan (Gold Mist Wood, Pack of 1)",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/61nt66+QH5L._AC_UL320_.jpg,https://www.amazon.in/Havells-Ambrose-Control-Decorative-Ceiling/dp/B0BHJCC4S5/ref=sr_1_22?qid=1679135034&s=kitchen&sr=1-22,4.3,"10,025","₹3,399","₹4,510"
"Carrier 1.5 Ton 3 Star Inverter Split AC (Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)",appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67RLLJC/ref=sr_1_23?qid=1679135034&s=kitchen&sr=1-23,4.1,630,"₹34,490","₹67,790"
