name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Welspun 100% Cotton Bath Towel Quick Dry HIGH Absorbency Attractive Border (Solid 70CMX137CM)-SEA Green,home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/71sEXa3zX7L._AC_UL320_.jpg,https://www.amazon.in/Welspun-Cotton-Absorbency-Attractive-70CMX137CM/dp/B0B9KBCXLT/ref=sr_1_481?qid=1679213079&s=kitchen&sr=1-481,4.0,34,,₹299
"Amigos® 100% Cotton Curtains for Door Bedroom, Living Room and Kids Room, Home Décor Fashion Printed Set of 2 Curtains wit...",home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/71OMP-1yU1L._AC_UL320_.jpg,https://www.amazon.in/Curtains-Door-Stainless-Multi-7Feet/dp/B0BDRFQ9DG/ref=sr_1_482?qid=1679213079&s=kitchen&sr=1-482,4.0,89,₹899,"₹1,999"
SPIEx-cell Excell loomtex Presents Diamond_Sofa Cover of Exclusive Royal Look Velvet Sofa Cover Set of Heavy Fabric 500 TC...,home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/91oHMW+hYoL._AC_UL320_.jpg,https://www.amazon.in/Excell-loomtex-Presents-Diamond_Sofa-Exclusive/dp/B09P457CPV/ref=sr_1_483?qid=1679213079&s=kitchen&sr=1-483,3.5,187,₹499,"₹1,299"
"Vintageware Handcrafted Wooden Kitchen Tissue Paper Roll Holder Stand (Gem Top) | Kitchen Accessories Item | Tissue Paper,...",home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/716xHwVVgIL._AC_UL320_.jpg,https://www.amazon.in/Vintageware-Wooden-Kitchen-Holder-Antique/dp/B075PB7MY4/ref=sr_1_484?qid=1679213079&s=kitchen&sr=1-484,4.2,"2,186",₹399,₹899
MY NEWBORN 3-in-1 Hooded Baby Blanket Wrapper - Pack of 2 (Solid Pink and White) | Towel for Baby Boy and Girl | All Seaso...,home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/51EkbXEXGYL._AC_UL320_.jpg,https://www.amazon.in/My-NewBorn-Baby-Blanket-White/dp/B07P3CZ438/ref=sr_1_485?qid=1679213079&s=kitchen&sr=1-485,4.1,"9,596",₹439,"₹1,800"
BSB HOME Premium Cotton Elastic Fitted Bedsheets with 2 QueenSize Pillow Covers | Double Bed with All Around Elastic 180 T...,home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/81rB20x3XsL._AC_UL320_.jpg,https://www.amazon.in/BSB-HOME-Bedsheets-QueenSize-Supersoft/dp/B0BS3J14XS/ref=sr_1_486?qid=1679213079&s=kitchen&sr=1-486,4.1,6,₹399,"₹1,299"
"Amazon Basics Reversible Microfiber Comforter - Single Large, Black, Pack of 1",home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/8162ocIuEpL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Reversible-Microfiber-Comforter-Extra-Long/dp/B00Q7OFAU8/ref=sr_1_487?qid=1679213079&s=kitchen&sr=1-487,4.1,"37,344",₹669,"₹1,900"
Home Sizzler 144 TC Microfibre Kid's Giraffe Double Bedsheet with 2 King Size Pillow Covers (Yellow),home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/71NaX7tmaxL._AC_UL320_.jpg,https://www.amazon.in/Home-Sizzler-Microfibre-Giraffe-Bedsheet/dp/B09FJM8DHP/ref=sr_1_488?qid=1679213079&s=kitchen&sr=1-488,4.0,652,₹499,"₹1,199"
"MAFATLAL 100% Cotton, Super Absorbent Large Size 2 Piece Bath Towel Set, 450 GSM",home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/71Bu7KuaZuL._AC_UL320_.jpg,https://www.amazon.in/MAFATLAL-Cotton-Super-Absorbent-Large/dp/B0BN5SWKKR/ref=sr_1_489?qid=1679213079&s=kitchen&sr=1-489,,,₹789,"₹2,199"
Sk Online Services Foldable Polyester Single Bed Foldable Mosquito Net/ Macchardani For Adults With Base| 30Gsm Mosquito N...,home & kitchen,Home Furnishing,https://m.media-amazon.com/images/I/61zJa7GQEkL._AC_UL320_.jpg,https://www.amazon.in/SK-ONLINE-SERVICES-Polyester-Macchardani/dp/B09GPJ4PSZ/ref=sr_1_490?qid=1679213079&s=kitchen&sr=1-490,3.9,112,₹849,"₹1,999"
