name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Pure Coconut Coir Scrub| Natural Plastic Free Coconut Coir Scrub| Multi-Purpose Scratch Free Dishwashing and Cleaning Pad|...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/61pbu8mXp0L._AC_UL320_.jpg,https://www.amazon.in/Pure-Coconut-Multi-Purpose-Dishwashing-Cleaning/dp/B09N7GQRMS/ref=sr_1_601?qid=1679223311&s=industrial&sr=1-601,4.0,37,,₹125
GHE®Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub Bathroom Brush with Long Handle 120° Rotate...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/61g2h4a15dL._AC_UL320_.jpg,https://www.amazon.in/GHE%C2%AEBathroom-Cleaning-Bathroom-Kitchen-Multicolor/dp/B0BYNM9SS1/ref=sr_1_602?qid=1679223311&s=industrial&sr=1-602,,,₹299,₹499
Phoenix M Fold Tissue Paper (1300),industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/51Esjbm6ZqL._AC_UL320_.jpg,https://www.amazon.in/Phoenix-M-Fold-Tissue-Paper/dp/B097S2TWDJ/ref=sr_1_603_mod_primary_new?qid=1679223311&s=industrial&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-603,3.4,80,₹430,₹499
HOME CUBE 1 Pc Double Headed Kitchen Cleaning Brush Scrubber Dish Bowl Washing Sponge with Refill Liquid Soap Dispenser Ki...,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/5143NimA04L._AC_UL320_.jpg,https://www.amazon.in/HOME-CUBE-Cleaning-Scrubber-Dispenser/dp/B08ZKMW3XB/ref=sr_1_604?qid=1679223311&s=industrial&sr=1-604,4.6,8,₹399,₹749
Norvina Handheld Air Conditioning Door Window Cleaner Brush Trench Groove Shutter Cleaning Brush (Multicolor),industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/31vp0XpIqBL._AC_UL320_.jpg,https://www.amazon.in/Norvina-Handheld-Conditioning-Brush-Multicolor/dp/B0BPMWT45T/ref=sr_1_605?qid=1679223311&s=industrial&sr=1-605,3.0,3,,₹69
"WIDEWINGS Multi-Functional Screen Brush 3 in 1 Mesh Cleaning Brush ,Household Cleaning Tools, Mirror Wiper, Glass Window C...",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/71PoMW9CWNL._AC_UL320_.jpg,https://www.amazon.in/WIDEWINGS-Multi-Functional-Cleaning-Household-Squeegee/dp/B0B46FZMRZ/ref=sr_1_606?qid=1679223311&s=industrial&sr=1-606,3.6,82,₹299,₹999
Scotch Brite Scrub Pad - 7.5cmx10cm (Pack of 3),industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/91U+RHGI9+S._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Scrub-Pad-7-5cmx10cm/dp/B01JIT555I/ref=sr_1_607_mod_primary_new?qid=1679223311&s=industrial&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-607,4.3,173,,₹55
Scotch-Brite Scrub Pad - Super StrongPack,industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/91PRtvIeQLL._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Scrub-Pad-Super-StrongPack/dp/B07G7BSC57/ref=sr_1_608?qid=1679223311&s=industrial&sr=1-608,4.3,48,₹189,₹199
"Spotzero by Milton  Comfy Premium Cloth Brush (Aqua Green,Pack of 1 piece)",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/5133tHkqAtL._AC_UL320_.jpg,https://www.amazon.in/Spotzero-Milton-Comfy-Premium-Cloth/dp/B07731QG8T/ref=sr_1_609?qid=1679223311&s=industrial&sr=1-609,3.9,628,,₹85
"BATH GURU High Qualty Plastic L Type Toilet Seat Cover Screw Hinges ( Pack Of 2, White )",industrial supplies,Janitorial & Sanitation Supplies,https://m.media-amazon.com/images/I/41aEAJkFNCL._AC_UL320_.jpg,https://www.amazon.in/BATH-GURU-Qualty-Plastic-Toilet/dp/B092D7ZDQR/ref=sr_1_610?qid=1679223311&s=industrial&sr=1-610,3.6,36,₹199,₹299
