name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Goldenize fashion New Kids Digital Dial Led White Watch with Multicolor Band for Men, Boys and Girls Birthday Gift Digital...",kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/51ZtdlNqfRL._AC_UL320_.jpg,https://www.amazon.in/Goldenize-Fashion-Digital-Multicolor-Birthday/dp/B0B6PTLCVX/ref=sr_1_241?qid=1679221194&s=apparel&sr=1-241,3.5,204,₹279,₹599
"TRASE Unisex Baby & Kids Sandals | Soft, Comfortable, Indoor & Outdoor, Easy to wear Sandals",kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/71ZH6417qaL._AC_UL320_.jpg,https://www.amazon.in/TRASE-88-018-Orange-Unisex-Sandals/dp/B091FYWR1M/ref=sr_1_242?qid=1679221194&s=apparel&sr=1-242,3.9,418,₹359,₹599
Jockey Boys Cotton Briefs (Pack of 2),kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/61TxojoUp8L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Plain-Brief-PB05_Assorted_11-12-Years/dp/B08231VYPL/ref=sr_1_243?qid=1679221194&s=apparel&sr=1-243,4.3,"1,000",₹328,₹338
"BHARATGAURAV - Hair Accessories Multi Type Black Butterfly Bits Hair Clutch Clips for Women Girls - Set of 30, Small",kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/71At-InsSkS._AC_UL320_.jpg,https://www.amazon.in/BHARATGAURAV-Small-size-Multi-Butterfly/dp/B098YTXSJ9/ref=sr_1_244?qid=1679221194&s=apparel&sr=1-244,4.0,199,₹219,₹499
"Spectrum Reading Workbook, Grade K",kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/81o5iPjh+fL._AC_UL320_.jpg,https://www.amazon.in/Spectrum-Reading-Workbook-Grade-K/dp/1483812138/ref=sr_1_245?qid=1679221194&s=apparel&sr=1-245,4.7,601,,₹840
SHASHIKIRAN Digital Kid's Watch (Dial Colored Strap),kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/419QejasrTL._AC_UL320_.jpg,https://www.amazon.in/Light-Digital-Frozen-Watch-Girls/dp/B09G1K3PMQ/ref=sr_1_246?qid=1679221194&s=apparel&sr=1-246,4.1,294,₹324,₹499
Googo Gaaga Boy's Cotton T-Shirt With Shorts,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/41qTsFgKFsL._AC_UL320_.jpg,https://www.amazon.in/Googo-Gaaga-Cotton-Applique-T-Shirt/dp/B07T5BQMNW/ref=sr_1_247?qid=1679221194&s=apparel&sr=1-247,3.4,571,₹462,"₹1,400"
A.T.U.N Girls Red Hippo- Grey Melange Ruffle Nighsuit,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/71PKZ0OsFQL._AC_UL320_.jpg,https://www.amazon.in/T-U-N-Hippo-Grey-Nighsuit-KNSS-GRR/dp/B08JT1SD79/ref=sr_1_248?qid=1679221194&s=apparel&sr=1-248,5.0,1,₹309.25,"₹1,599"
Campus Child Cherry JR Running Shoes,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/81-pF17FiBL._AC_UL320_.jpg,https://www.amazon.in/Campus-Child-Cherry-JR-Running/dp/B09QX1Y156/ref=sr_1_249?qid=1679221194&s=apparel&sr=1-249,4.2,51,₹786,"₹1,049"
100 Grams Fine Silver 999 Precious Banyan Tree Bar BIS Hallmarked with Certi Card & Box Packing,kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/71hmNILxYBL._AC_UL320_.jpg,https://www.amazon.in/Rajasthan-Silver-WorksTM-Hallmarked-Precious/dp/B08KZP5G7M/ref=sr_1_250?qid=1679221194&s=apparel&sr=1-250,4.5,516,"₹7,550","₹11,999"
