name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Skybags Unisex Black Gucci Fabric 27L Backpacks,kids' fashion,School Bags,https://m.media-amazon.com/images/I/71THQ0-XAyL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Unisex-Black-Fabric-Backpacks/dp/B0B21YQX55/ref=sr_1_97?qid=1679220851&s=luggage&sr=1-97,3.8,100,₹913,"₹2,000"
Gear Eco4 19L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,kids' fashion,School Bags,https://m.media-amazon.com/images/I/91lSewK8cSL._AC_UL320_.jpg,https://www.amazon.in/Gear-Green-Casual-Backpack-BKPECOBP40503/dp/B019HA8DQQ/ref=sr_1_98?qid=1679220851&s=luggage&sr=1-98,4.0,"4,150",₹373,"₹1,098"
PUMA Casual Backpack IND II Bridal Rose-Copper-Copper(logo),kids' fashion,School Bags,https://m.media-amazon.com/images/I/51fUFZ4QX3L._AC_UL320_.jpg,https://www.amazon.in/PUMA-Casual-Backpack-Bridal-Rose-Copper-Copper/dp/B08BTZXTXQ/ref=sr_1_99?qid=1679220851&s=luggage&sr=1-99,4.1,314,₹999,"₹1,799"
Blue Tree Cute Kids Backpack Toddler Bag Plush Animal Cartoon Mini Travel Bag for Baby Girl Boy 1-6 Years,kids' fashion,School Bags,https://m.media-amazon.com/images/I/61ufxIn3jsL._AC_UL320_.jpg,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B0B7FGTWST/ref=sr_1_100?qid=1679220851&s=luggage&sr=1-100,3.8,57,₹288,₹499
PALAY 2 in 1 Unicorn bag For Kids Backpack Messenger Bag 16'' School Backpack Cartoon Unicorn School Backpack for Girls Gi...,kids' fashion,School Bags,https://m.media-amazon.com/images/I/615g1NYX0KL._AC_UL320_.jpg,https://www.amazon.in/Unicorn-Backpack-Messenger-Cartoon-Primary/dp/B0B46F7YXL/ref=sr_1_101?qid=1679220851&s=luggage&sr=1-101,4.2,22,"₹2,083","₹2,489"
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,kids' fashion,School Bags,https://m.media-amazon.com/images/I/81yrtVWT23L._AC_UL320_.jpg,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07NPW84SS/ref=sr_1_102?qid=1679220851&s=luggage&sr=1-102,3.9,"3,772",,₹499
Skybags Unisex Blue Shiny Jacquard 22L Backpacks,kids' fashion,School Bags,https://m.media-amazon.com/images/I/71evHjcopXL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Unisex-Shiny-Jacquard-Backpacks/dp/B0B21YN3BW/ref=sr_1_103?qid=1679220851&s=luggage&sr=1-103,4.0,52,₹839,"₹1,800"
"Skybags Drip NXT 02 Unisex Daypack Backpack with Coin Pouch, Pink",kids' fashion,School Bags,https://m.media-amazon.com/images/I/91XV-pKyNjL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Unisex-Daypack-Backpack-Pouch/dp/B0BFX8KB23/ref=sr_1_104?qid=1679220851&s=luggage&sr=1-104,5.0,1,"₹1,890","₹2,500"
"Genie Littlehearts Backpack for Women - 2 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Gi...",kids' fashion,School Bags,https://m.media-amazon.com/images/I/71VZizcF3uL._AC_UL320_.jpg,https://www.amazon.in/Genie-Littlehearts-Backpack-Women-compartments/dp/B097JJTNS9/ref=sr_1_105?qid=1679220851&s=luggage&sr=1-105,4.7,65,₹702,"₹2,339"
Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,kids' fashion,School Bags,https://m.media-amazon.com/images/I/91mRpCW3SgL._AC_UL320_.jpg,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_106?qid=1679220851&s=luggage&sr=1-106,3.9,231,₹324,₹899
