name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"WRAPLUS ""REDEFINING FOOD WRAPPING "" Multipurpose Food Wrapping Paper (20M, Green and White)",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61q3Rl0FuuL._AC_UL320_.jpg,https://www.amazon.in/Wraplus-Premium-Quality-Multipurpose-Wrapping/dp/B077TZFG7W/ref=sr_1_145?qid=1679214276&s=kitchen&sr=1-145,4.3,"4,457",₹185,₹199
Faber-Castell Erasable Crayon Tin Set - Pack of 12 (Assorted) + 2 FREE Gold and Silver,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71YnbFkSEAL._AC_UL320_.jpg,https://www.amazon.in/Faber-Castell-Erasable-Crayon-Tin-Set/dp/B073PTLW5F/ref=sr_1_146?qid=1679214276&s=kitchen&sr=1-146,4.2,"3,747",,₹65
"CURISSA Double Sided Tape for Clothes Fashion Dressing Tape/Invisible Double-sided Body Tape, Clothing Bra Strip, Bikini T...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/51VYKdv8nkL._AC_UL320_.jpg,https://www.amazon.in/Dressing-Invisible-Double-sided-Clothing-Stickers/dp/B0B4DJNQLX/ref=sr_1_147?qid=1679214276&s=kitchen&sr=1-147,3.7,656,₹199,₹249
HASTHIP® 200pcs Vintage Journal Supplies Pack for Scrapbook Supplies Art Journaling Bullet Junk Journal Planners DIY Paper...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/91oiAbzL2LL._AC_UL320_.jpg,https://www.amazon.in/HASTHIP%C2%AE-Supplies-Scrapbook-Journaling-Aesthetic/dp/B0B1X66VK8/ref=sr_1_148?qid=1679214276&s=kitchen&sr=1-148,4.1,90,₹499,₹659
"Red Crush Original Peacock Feather More Pankh Tails Full Length Size (Green, 30 Inch) - Pack of 12",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71DJ8KwHP8L._AC_UL320_.jpg,https://www.amazon.in/Red-Crush-Peacock-Feather-Original/dp/B08R5YPTHQ/ref=sr_1_149?qid=1679214276&s=kitchen&sr=1-149,3.9,"1,273",₹190,₹399
"INOVERA (LABEL) 12 Set Professional Drawing Art Sketch Graphite Pencils, 2H, H, F, HB, B, 2B, 3B, 4B, 5B, 6B, 7B, 8B, Blac...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71VTzAoVbEL._AC_UL320_.jpg,https://www.amazon.in/INOVERA-Professional-Drawing-Graphite-Pencils/dp/B09FZHCBJ8/ref=sr_1_150?qid=1679214276&s=kitchen&sr=1-150,4.4,618,₹169,₹699
Galinpo 10Pcs Brooch Pin Assorted Instant Buttons Jean Buttons Pins Mini Enamel Pins Shirt Brooch Buttons Small Safety Lap...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61CPdBQ4pkL._AC_UL320_.jpg,https://www.amazon.in/Galinpo-Brooch-Assorted-Instant-Buttons/dp/B0BNLHTCFN/ref=sr_1_151?qid=1679214276&s=kitchen&sr=1-151,3.7,17,₹299,₹999
Jiada Return Gifts Set of Cartoon Printed Kids Haversack Bags (Pack of 12),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/91ObDp3pKlL._AC_UL320_.jpg,https://www.amazon.in/Jiada-Cartoon-Printed-Kids-Haversack/dp/B01M9JN680/ref=sr_1_152?qid=1679214276&s=kitchen&sr=1-152,3.8,"1,323",₹399,₹780
"royalkart Self Adhesive Hook and Loop Tape | Mounting Tape For Household Purposes,School,Office,Kids| (5m Hook + 5m Loop)(...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71vLzw7m1PL._AC_UL320_.jpg,https://www.amazon.in/Royalkart-Adhesive-Mounting-Picture-Fastening/dp/B07H2LGHNN/ref=sr_1_153?qid=1679214276&s=kitchen&sr=1-153,3.9,"2,226",₹284,₹474
DOMS Poster Colour 14 Shades,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61zHe+OFcnS._AC_UL320_.jpg,https://www.amazon.in/Doms-Poster-Colours-14-Shades/dp/B079ZZ5W8T/ref=sr_1_154?qid=1679214276&s=kitchen&sr=1-154,4.5,"2,346",₹194,₹195
"Glactic Painting Brushes Set of 12 Round, Flat Mix Synthetic Hairs Assorted Paint Brush for Acrylic/Watercolor/Oil Brushes...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71K1LJPfAkL._AC_UL320_.jpg,https://www.amazon.in/Glactic-Painting-Synthetic-Assorted-Watercolor/dp/B09VPQ1RD3/ref=sr_1_155?qid=1679214276&s=kitchen&sr=1-155,4.1,366,₹269,₹499
"Corceptive 3 Meter Double Sided Adhesive Silicon Tape Double Sided Nano Adhesive Tape,Washable Traceless Nano Gel Tape,Sti...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61Q1hVW9RfL._AC_UL320_.jpg,https://www.amazon.in/Corceptive-Adhesive-Silicon-Washable-Traceless/dp/B08K3JW7ZM/ref=sr_1_156?qid=1679214276&s=kitchen&sr=1-156,3.7,19,₹189,₹599
KABEER ART 16 Well Rectangle Plastic Painting Palette,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/51YmSnW32nL._AC_UL320_.jpg,https://www.amazon.in/KABEER-ART-16-Rectangle-Plastic/dp/B011G1K9EI/ref=sr_1_157?qid=1679214276&s=kitchen&sr=1-157,4.3,556,₹175,₹250
"Jb Branded Original 50 Meters Golden Tape, Home Floor Wallpaper Waterproof Tiles, Tile Gap Tiles Stickers for Floor-(0.5 C...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61f9qFpzo8L._AC_UL320_.jpg,https://www.amazon.in/Jb-Original-Wallpaper-Waterproof-Stickers/dp/B0BNYH855J/ref=sr_1_158?qid=1679214276&s=kitchen&sr=1-158,3.7,109,₹249,₹999
Multipurpose Double Sided Mounting Tape - Washable Traceless Clear Adhesive Tape - Household & Industrial Gel Tape (9.85 FT),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61cGnH-XCRL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Double-Sided-Mounting-Tape/dp/B07TX8RPNZ/ref=sr_1_159?qid=1679214276&s=kitchen&sr=1-159,4.0,"2,357",₹110,₹999
"Fevicryl DIY Self Painting Art of India Kit - Kalamkari Art | Acrylic Paints 12 shades x 20ml Each, Set of Round Brushes (...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71eycyReXlL._AC_UL320_.jpg,https://www.amazon.in/Fevicryl-DIY-Self-Painting-India/dp/B09Q614Z6B/ref=sr_1_160?qid=1679214276&s=kitchen&sr=1-160,4.6,142,₹448,₹599
casacrest Dual Tip Art Markers 48 Colours with Carrying Case for Painting Sketching Calligraphy Drawing - Twin Head Perman...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/81wFAtKPl1L._AC_UL320_.jpg,https://www.amazon.in/Casacrest-Carrying-Painting-Sketching-Calligraphy/dp/B099JWLDNT/ref=sr_1_161?qid=1679214276&s=kitchen&sr=1-161,4.0,311,₹806,"₹1,299"
WISHKEY 3 in 1 USB Chargeable LED Light Table Night Lamp for Kids Bedroom with Pencil Sharpener and Pen Holder Stand for G...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/31RglIeKQ1L._AC_UL320_.jpg,https://www.amazon.in/Wishkey-Chargeable-Sharpener-Decoration-Multicolor/dp/B09N3C4MBL/ref=sr_1_162?qid=1679214276&s=kitchen&sr=1-162,4.2,173,₹399,₹799
Camel Canvas Board - 20cm x 25cm,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/717Wt9UvTPL._AC_UL320_.jpg,https://www.amazon.in/Camel-Camlin-Kokuyo-Canvas-Board/dp/B00LY1BNSC/ref=sr_1_163?qid=1679214276&s=kitchen&sr=1-163,4.4,"1,825",,₹90
Doms Triangle Dust Free Fragrance Eraser Jar (50 Pcs),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61dpz3JNW6S._AC_UL320_.jpg,https://www.amazon.in/DOMS-Triangle-Dust-Fragrance-Eraser/dp/B07KR99L7F/ref=sr_1_164?qid=1679214276&s=kitchen&sr=1-164,4.4,846,₹142,₹150
B7000 Glue for Mobile Phone 50ML,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/31lkpZ90DAL._AC_UL320_.jpg,https://www.amazon.in/B7000-Glue-Mobile-Phone-50ML/dp/B07ZKVVKN2/ref=sr_1_165?qid=1679214276&s=kitchen&sr=1-165,4.0,432,₹199,₹499
Plus Japan Glue Tape 12 M | Pack of 2 (Blue),home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/61si9SSZ2AL._AC_UL320_.jpg,https://www.amazon.in/Japan-Glue-Tape-Pack-Blue/dp/B09K46N4L4/ref=sr_1_166?qid=1679214276&s=kitchen&sr=1-166,4.3,344,,₹333
"OFIXO Food WRAP Multipurpose Food Wrapping Paper | 50 Meter | Perfect Premium Food Wrapping Paper for Cooking, Baking, Pac...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/51TMfmV50OL._AC_UL320_.jpg,https://www.amazon.in/OFIXO-Multipurpose-Wrapping-Perfect-Premium/dp/B0BQBRSRSS/ref=sr_1_167?qid=1679214276&s=kitchen&sr=1-167,3.4,12,₹299,₹499
"Camel Acrylic Color Box - 20ml Tubes, 12 Shades",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71zlEHy-ysL._AC_UL320_.jpg,https://www.amazon.in/Camel-Camlin-Acrylic-Color-Box/dp/B00KIEGN4A/ref=sr_1_168?qid=1679214276&s=kitchen&sr=1-168,4.6,"4,297",,₹550
"THR3ESTROKES Mandala Dotting Tools for Painting, Rock Paint Kits, Nail Art, Polymer Clay, DIY Supplies with Ball Stylus Do...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71zlEHy-ysL._AC_UL320_.jpg,https://www.amazon.in/THR3ESTROKES-Mandala-Painting-Supplies-Modelling/dp/B09RZTVFZH/ref=sr_1_241_mod_primary_new?qid=1679214278&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-241,4.4,339,₹131,₹999
HASTHIP® 360 Sheets Vintage Scrapbook Paper Supplies DIY Journaling Supplies for Writing Drawing Scrapbook Materials for C...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71xVeroSwwS._AC_UL320_.jpg,https://www.amazon.in/HASTHIP%C2%AE-Scrapbook-Supplies-Journaling-Materials/dp/B096YYM9LD/ref=sr_1_1249?qid=1679214291&s=kitchen&sr=1-1249,4.2,195,₹556,₹893
Oytra 24 Color Polymer Oven Bake Clay Set with Jewelry Making Accessories Kit Tools Non Air Dry Plasticine PVC Material DI...,home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/71QaZDDkAxL._AC_UL320_.jpg,https://www.amazon.in/Oytra-Color-Polymer-Modeling-Accessories/dp/B07TRMF4WQ/ref=sr_1_1250?qid=1679214291&s=kitchen&sr=1-1250,4.0,904,₹799,"₹1,000"
"HUNNY- BUNCH® Premium Anchor Stitch Kit for Children to Adults Crafters, Long Stitch Kit with Beautiful 21 Cotton Skeins (...",home & kitchen,Sewing & Craft Supplies,https://m.media-amazon.com/images/I/41MWLh8LU1L._AC_UL320_.jpg,https://www.amazon.in/HUNNY-Premium-Children-Crafters-Beautiful/dp/B0B7S217N4/ref=sr_1_1251?qid=1679214291&s=kitchen&sr=1-1251,5.0,2,₹315,₹549
