name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Natali Traders PU Leather Women's Wallet-Purse for Ladies-Gifts for Sister-Friends-Wife-Girls-Birthday-Anniversary-Surpris...,bags & luggage,Wallets,https://m.media-amazon.com/images/I/61mZh-AkkJL._AC_UL320_.jpg,https://www.amazon.in/Natali-Wallet-Purse-Ladies-Gifts-Sister-Friends-Wife-Girls-Birthday-Anniversary-Surprise-Gift-Womens/dp/B08XMN9RKX/ref=sr_1_1585?qid=1679219274&s=luggage&sr=1-1585,3.5,4,₹599,₹799
Baby Panda Birthday Party Return Gifts- Unicorn Earphone Multipurpose Tin Pouches for Kids Girls Boys(Pack of 6),bags & luggage,Wallets,https://m.media-amazon.com/images/I/51TlCLl4uQL._AC_UL320_.jpg,https://www.amazon.in/Baby-Panda-Birthday-Pendrive-Multipurpose/dp/B0826VCCS8/ref=sr_1_1586?qid=1679219274&s=luggage&sr=1-1586,3.5,9,₹315,₹541
Baggit Women's Ziparound Wallet - Large (Beige),bags & luggage,Wallets,https://m.media-amazon.com/images/I/51plApFAAmL._AC_UL320_.jpg,https://www.amazon.in/Baggit-2124508-Womens-Wallet-Beige/dp/B09F6BF3V3/ref=sr_1_1587?qid=1679219274&s=luggage&sr=1-1587,3.0,2,₹490,"₹1,290"
Prakal Small Compact Wallet for Women with ID Window Card Holder Minimalist Ladies Mini Purse Fold Over Womens Girls Slim ...,bags & luggage,Wallets,https://m.media-amazon.com/images/I/51wLBfi7PjL._AC_UL320_.jpg,https://www.amazon.in/Prakal-Compact-Wallet-Minimalist-Wallets/dp/B0BP2C77PK/ref=sr_1_1588?qid=1679219274&s=luggage&sr=1-1588,,,₹390,₹799
Swiss Military LW-1 Black Leather Men's Wallet (LW-1),bags & luggage,Wallets,https://m.media-amazon.com/images/I/91zOoP6lAEL._AC_UL320_.jpg,https://www.amazon.in/Swiss-Military-Leather-Wallet-LW-1/dp/B00JABIGNI/ref=sr_1_1589?qid=1679219274&s=luggage&sr=1-1589,4.3,100,₹809,"₹1,490"
Haimac PU Leather 9 Slot Vertical Credit Card Holder Purse for Men Women - Blue Card Holder,bags & luggage,Wallets,https://m.media-amazon.com/images/I/716tUf+Qt0L._AC_UL320_.jpg,https://www.amazon.in/Haimac-Leather-Vertical-Credit-Holder/dp/B0B5GNCJNC/ref=sr_1_1590?qid=1679219274&s=luggage&sr=1-1590,3.5,2,₹529,"₹1,599"
Tommy Hilfiger Ramiro Mens Leather Global Coin Wallet Navy,bags & luggage,Wallets,https://m.media-amazon.com/images/I/716u5tHj3PL._AC_UL320_.jpg,https://www.amazon.in/Tommy-Hilfiger-Leather-8903496164718-11-5X2X9-5/dp/B09NBZMBL4/ref=sr_1_1591?qid=1679219274&s=luggage&sr=1-1591,4.3,9,,"₹2,099"
Van Heusen Women's Western (Tan),bags & luggage,Wallets,https://m.media-amazon.com/images/I/8127-vGiwGL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Womens-Western-Tan/dp/B0BDFBKMVF/ref=sr_1_1592?qid=1679219274&s=luggage&sr=1-1592,,,₹969,"₹1,899"
Caprese Women's Handbag,bags & luggage,Wallets,https://m.media-amazon.com/images/I/91rzxoFY70L._AC_UL320_.jpg,https://www.amazon.in/Caprese-Star-Womens-Wallet-Sweet/dp/B07W7S252F/ref=sr_1_1593?qid=1679219274&s=luggage&sr=1-1593,4.2,477,₹599,"₹2,799"
SPL Kavis Leather Men's Wallet (K0028_Brown),bags & luggage,Wallets,https://m.media-amazon.com/images/I/71AFbjr+KlL._AC_UL320_.jpg,https://www.amazon.in/SPL-K0028-Genuine-Leather-Zipper/dp/B07FQMLHYF/ref=sr_1_1594?qid=1679219274&s=luggage&sr=1-1594,4.2,50,"₹1,299","₹2,499"
