name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Sonata Wedding Analog Silver Dial Women's Watch -NM8080BM01 / NL8080BM01/NP8080BM01,accessories,Watches,https://m.media-amazon.com/images/I/61zBBVdVKCL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Wedding-Analog-Silver-Watch-NJ8080BM01C/dp/B00DBSHLSC/ref=sr_1_101?qid=1679155586&s=watches&sr=1-101,4.3,"1,222","₹1,089","₹1,399"
Sonata Pankh Analog Champagne Dial Women's Watch NM8085YM05/NN8085YM05/NP8085YM05,accessories,Watches,https://m.media-amazon.com/images/I/61gSzcTeEvL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Analog-Champagne-Womens-Watch-8085YM05/dp/B079MMBBWM/ref=sr_1_102?qid=1679155586&s=watches&sr=1-102,4.2,"1,184",,"₹1,275"
Casio G-Shock for Women Analog-Digital Rose Gold Dial Watch-GMA-S120MF-4ADR(G732),accessories,Watches,https://m.media-amazon.com/images/I/61+tpnfQ6FL._AC_UL320_.jpg,https://www.amazon.in/Casio-G-Shock-Analog-Digital-Watch-GMA-S120MF-4ADR-G732/dp/B06XCGWQBG/ref=sr_1_103?qid=1679155586&s=watches&sr=1-103,4.6,174,,"₹7,995"
Fastrack Ruffles Analog Grey Dial Women's Watch-6207SL01,accessories,Watches,https://m.media-amazon.com/images/I/71QvJho7CEL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Ruffles-Analog-Womens-Watch-6207SL01/dp/B08H847BG9/ref=sr_1_104?qid=1679155586&s=watches&sr=1-104,4.0,131,"₹1,879","₹2,495"
Casio Vintage Series Digital Gold Dial Women's Watch-LA670WGA-1DF,accessories,Watches,https://m.media-amazon.com/images/I/61AmKThyUrL._AC_UL320_.jpg,https://www.amazon.in/Casio-Womens-LA670WGA-1DF-Digital-Gold-tone/dp/B003BJFQW4/ref=sr_1_105?qid=1679155586&s=watches&sr=1-105,4.6,"7,710",,"₹3,995"
Fossil Original Boyfriend Analog Silver Dial Women's Watch-ES3838,accessories,Watches,https://m.media-amazon.com/images/I/61x+XDaQg5L._AC_UL320_.jpg,https://www.amazon.in/Fossil-Original-Boyfriend-Analog-Watch-ES3838/dp/B00WM0OSPO/ref=sr_1_106?qid=1679155586&s=watches&sr=1-106,4.5,"1,307","₹7,197","₹11,995"
Titan Raga Viva Analog Rose Gold Dial Women's Watch-2642WM01,accessories,Watches,https://m.media-amazon.com/images/I/61M7opyIggL._AC_UL320_.jpg,https://www.amazon.in/Titan-Raga-Analog-Womens-Watch-2642WM01/dp/B08HCLZPTG/ref=sr_1_107?qid=1679155586&s=watches&sr=1-107,4.2,96,,"₹4,795"
Daniel Klein Analog Blue Dial Women's Watch-DK11467-5,accessories,Watches,https://m.media-amazon.com/images/I/51vQP8nfAaL._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Womens-Watch-DK11467-5/dp/B07B6BF4J9/ref=sr_1_108?qid=1679155586&s=watches&sr=1-108,4.0,290,"₹2,780","₹5,940"
ADAMO Aritocrat Women's Watch - BG-336,accessories,Watches,https://m.media-amazon.com/images/I/612jYMsjiRL._AC_UL320_.jpg,https://www.amazon.in/ADAMO-Aritocrat-White-Womens-336KKM01/dp/B09FXKH427/ref=sr_1_109?qid=1679155586&s=watches&sr=1-109,4.0,489,₹549,"₹2,495"
IIK COLLECTION Analog Women's Watch Stainless Steel Dial Wrist Watches for Women Stylish Belt Ladies Watch - Water Resista...,accessories,Watches,https://m.media-amazon.com/images/I/61Ls2WUoePL._AC_UL320_.jpg,https://www.amazon.in/Collection-Watches-Analogue-Silver-Womens/dp/B01N2QSEE1/ref=sr_1_110?qid=1679155586&s=watches&sr=1-110,3.9,"3,336",₹599,"₹1,999"
Fastrack Analog Black Dial Women's Watch-NL6109SM02/NP6109SM02,accessories,Watches,https://m.media-amazon.com/images/I/61-54LgTT+L._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-Black-Womens-Watch-NK6109SM02/dp/B013STYBV8/ref=sr_1_111?qid=1679155586&s=watches&sr=1-111,4.3,"1,716","₹2,695","₹2,895"
Casio Vintage Series Digital Black Dial Unisex-Adult Watch-D205,accessories,Watches,https://m.media-amazon.com/images/I/61Bp8pGSuRL._AC_UL320_.jpg,https://www.amazon.in/Casio-Ladies-LA680WGA-1B-Metal-Quartz/dp/B00N17RT9E/ref=sr_1_112?qid=1679155586&s=watches&sr=1-112,4.0,185,,"₹4,495"
WHITE BIRD Formal Analogue Women's Watch(Black Dial Womens Standard Black Colored Strap)-IGP002,accessories,Watches,https://m.media-amazon.com/images/I/81N03bDI0wL._AC_UL320_.jpg,https://www.amazon.in/WHITE-BIRD-Analogue-Standard-Colored/dp/B0BQ6CRZGH/ref=sr_1_113?qid=1679155586&s=watches&sr=1-113,3.9,471,₹899,"₹2,499"
Titan Analog Multi-Color Dial Women's Watch-NL2401YM01/NP2401YM01,accessories,Watches,https://m.media-amazon.com/images/I/615iGPCx6VL._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-Multi-Color-Womens-Watch-NK2401YM01/dp/B00ASNWK52/ref=sr_1_114?qid=1679155586&s=watches&sr=1-114,4.1,584,,"₹2,020"
TIMEX Analog Gold Dial Women's Watch-TWHL41SMU05,accessories,Watches,https://m.media-amazon.com/images/I/71O+d3oWduL._AC_UL320_.jpg,https://www.amazon.in/TIMEX-Analog-womens-Watch-TWHL41SMU05/dp/B08W4HXZ79/ref=sr_1_115?qid=1679155586&s=watches&sr=1-115,4.5,109,"₹1,899","₹3,495"
